00478348 p_glAccum
0047834c p_glAlphaFunc
00478350 p_glAreTexturesResident
00478354 p_glArrayElement
00478358 p_glBegin
0047835c p_glBindTexture
00478360 p_glBitmap
00478364 p_glBlendFunc
00478368 p_glCallList
0047836c p_glCallLists
00478370 p_glClear
00478374 p_glClearAccum
00478378 p_glClearColor
0047837c p_glClearDepth
00478380 p_glClearIndex
00478384 p_glClearStencil
00478388 p_glClipPlane
0047838c p_glColor3b
00478390 p_glColor3bv
00478394 p_glColor3d
00478398 p_glColor3dv
0047839c p_glColor3f
004783a0 p_glColor3fv
004783a4 p_glColor3i
004783a8 p_glColor3iv
004783ac p_glColor3s
004783b0 p_glColor3sv
004783b4 p_glColor3ub
004783b8 p_glColor3ubv
004783bc p_glColor3ui
004783c0 p_glColor3uiv
004783c4 p_glColor3us
004783c8 p_glColor3usv
004783cc p_glColor4b
004783d0 p_glColor4bv
004783d4 p_glColor4d
004783d8 p_glColor4dv
004783dc p_glColor4f
004783e0 p_glColor4fv
004783e4 p_glColor4i
004783e8 p_glColor4iv
004783ec p_glColor4s
004783f0 p_glColor4sv
004783f4 p_glColor4ub
004783f8 p_glColor4ubv
004783fc p_glColor4ui
00478400 p_glColor4uiv
00478404 p_glColor4us
00478408 p_glColor4usv
0047840c p_glColorMask
00478410 p_glColorMaterial
00478414 p_glColorPointer
00478418 p_glCopyPixels
0047841c p_glCopyTexImage1D
00478420 p_glCopyTexImage2D
00478424 p_glCopyTexSubImage1D
00478428 p_glCopyTexSubImage2D
0047842c p_glCullFace
00478430 p_glDeleteLists
00478434 p_glDeleteTextures
00478438 p_glDepthFunc
0047843c p_glDepthMask
00478440 p_glDepthRange
00478444 p_glDisable
00478448 p_glDisableClientState
0047844c p_glDrawArrays
00478450 p_glDrawBuffer
00478454 p_glDrawElements
00478458 p_glDrawPixels
0047845c p_glEdgeFlag
00478460 p_glEdgeFlagPointer
00478464 p_glEdgeFlagv
00478468 p_glEnable
0047846c p_glEnableClientState
00478470 p_glEnd
00478474 p_glEndList
00478478 p_glEvalCoord1d
0047847c p_glEvalCoord1dv
00478480 p_glEvalCoord1f
00478484 p_glEvalCoord1fv
00478488 p_glEvalCoord2d
0047848c p_glEvalCoord2dv
00478490 p_glEvalCoord2f
00478494 p_glEvalCoord2fv
00478498 p_glEvalMesh1
0047849c p_glEvalMesh2
004784a0 p_glEvalPoint1
004784a4 p_glEvalPoint2
004784a8 p_glFeedbackBuffer
004784ac p_glFinish
004784b0 p_glFlush
004784b4 p_glFogf
004784b8 p_glFogfv
004784bc p_glFogi
004784c0 p_glFogiv
004784c4 p_glFrontFace
004784c8 p_glFrustum
004784cc p_glGenLists
004784d0 p_glGenTextures
004784d4 p_glGetBooleanv
004784d8 p_glGetClipPlane
004784dc p_glGetDoublev
004784e0 p_glGetError
004784e4 p_glGetFloatv
004784e8 p_glGetIntegerv
004784ec p_glGetLightfv
004784f0 p_glGetLightiv
004784f4 p_glGetMapdv
004784f8 p_glGetMapfv
004784fc p_glGetMapiv
00478500 p_glGetMaterialfv
00478504 p_glGetMaterialiv
00478508 p_glGetPixelMapfv
0047850c p_glGetPixelMapuiv
00478510 p_glGetPixelMapusv
00478514 p_glGetPointerv
00478518 p_glGetPolygonStipple
0047851c p_glGetString
00478520 p_glGetTexEnvfv
00478524 p_glGetTexEnviv
00478528 p_glGetTexGendv
0047852c p_glGetTexGenfv
00478530 p_glGetTexGeniv
00478534 p_glGetTexImage
00478538 p_glGetTexLevelParameterfv
0047853c p_glGetTexLevelParameteriv
00478540 p_glGetTexParameterfv
00478544 p_glGetTexParameteriv
00478548 p_glHint
0047854c p_glIndexMask
00478550 p_glIndexPointer
00478554 p_glIndexd
00478558 p_glIndexdv
0047855c p_glIndexf
00478560 p_glIndexfv
00478564 p_glIndexi
00478568 p_glIndexiv
0047856c p_glIndexs
00478570 p_glIndexsv
00478574 p_glIndexub
00478578 p_glIndexubv
0047857c p_glInitNames
00478580 p_glInterleavedArrays
00478584 p_glIsEnabled
00478588 p_glIsList
0047858c p_glIsTexture
00478590 p_glLightModelf
00478594 p_glLightModelfv
00478598 p_glLightModeli
0047859c p_glLightModeliv
004785a0 p_glLightf
004785a4 p_glLightfv
004785a8 p_glLighti
004785ac p_glLightiv
004785b0 p_glLineStipple
004785b4 p_glLineWidth
004785b8 p_glListBase
004785bc p_glLoadIdentity
004785c0 p_glLoadMatrixd
004785c4 p_glLoadMatrixf
004785c8 p_glLoadName
004785cc p_glLogicOp
004785d0 p_glMap1d
004785d4 p_glMap1f
004785d8 p_glMap2d
004785dc p_glMap2f
004785e0 p_glMapGrid1d
004785e4 p_glMapGrid1f
004785e8 p_glMapGrid2d
004785ec p_glMapGrid2f
004785f0 p_glMaterialf
004785f4 p_glMaterialfv
004785f8 p_glMateriali
004785fc p_glMaterialiv
